Name,Latitude,Longitude
Administrative Services,48.4660386,-123.3141749
Business and Economics,48.4652518,-123.3128243
Child Care Centre,48.4666472,-123.3044467
Interfaith Chapel,48.4606789,-123.3170331
Clearihue,48.4644792,-123.3104895
Cadboro Commons,48.4637871,-123.3065638
Cornett,48.4642358,-123.3127139
Craigdarroch,48.4643784,-123.3064978
Campus Services,48.4660435,-123.3098596
Continuing Studies,48.46612700000001,-123.312531
Cunningham,48.4619811,-123.3119665
Strong,48.464848,-123.3135245
Engineering/Computer Science,48.4610707,-123.3115328
Elliott,48.4623469,-123.3099044
Engineering Lab Wing,48.4611664,-123.3106336
Engineering Office Wing,48.4614144,-123.3096729
Fine Arts,48.4620061,-123.3168614
Fraser,48.4651425,-123.3163842
Glover Greenhouse,48.4616506,-123.3079408
Greenhouse,48.4616506,-123.3079408
Halpern Centre for Graduate Students,48.466068,-123.3074997
Gymnasium,48.4665855,-123.3108858
Hickman,48.46379169999999,-123.3142096
Lou-Poy Child Care Centre,48.4666472,-123.3044467
Human and Social Development,48.463358,-123.3143298
A-Hut,48.469123,-123.3085152
B-Hut,48.4693103,-123.3085123
E-Hut,48.4673981,-123.3087976
L-Hut,48.4698375,-123.3110625
Q-Hut,48.4693379,-123.31125
R-Hut,48.4698375,-123.3110625
S-Hut,48.4698375,-123.3110625
V-Hut,48.4694429,-123.3123731
Y-Hut,48.4693394,-123.313799
MacLaurin,48.4624866,-123.3141792
McKinnon,48.4665855,-123.3108858
Mearns Centre for Learning,48.46350349999999,-123.3095836
Medical Sciences,48.46170900000001,-123.3125322
Music,48.4624463,-123.3149747
Park Residence,48.46499439999999,-123.3058857
Petch,48.4618208,-123.3104425
R01-39- Family Housing,48.4669468,-123.3048048
R051-61- Cluster Housing,48.4628828,-123.3043638
Residences,48.4653241,-123.3068237
Ring Residence,48.462512,-123.3071136
Saunders Annex,48.4684975,-123.3087867
Saunders,48.4678525,-123.30774
Security,48.4667389,-123.3087353
Sedgewick,48.46419419999999,-123.3145882
Social Sciences and Mathematics,48.46472139999999,-123.314418
Student Union Building,48.4650117,-123.3081849
Technology Enterprise Facility,48.4688779,-123.3093676
Tower Residence,48.4640201,-123.3057149
University Club,48.46389730000001,-123.3175136
University House 1,48.4628564,-123.3023614
University House 2,48.4621461,-123.3031957
University House 3,48.461502,-123.3034235
University House 4,48.4612867,-123.3011995
University Centre,48.4649729,-123.3115291
Visual Arts,48.4621624,-123.3179945
